Temperatura (°C),pH,Tempo (h),Glicose (g/L),Agitação (rpm),Tipo de Fermentador,Operador Responsável,Rendimento Etanol (%)
34.12,4.72,28.1,165.0,270.0,Tipo-B,Carlos,50.71
29.43,4.55,24.5,112.7,143.1,TIPO C,Bruno,36.6
27.05,5.29,42.1,150.6,250.8,Tipo B,Desconhecido,49.87
34.77,5.39,39.3,152.9,276.3,tipo a,ana,59.88
36.08,5.74,23.6,151.4,134.3,Tipo A,Desconhecido,34.99
29.73,4.68,15.7,156.9,169.4,Tipo A,Ana,24.78
34.67,5.54,14.6,101.9,294.0,Tipo B,Bruno,31.49
30.93,5.12,15.4,171.1,256.2,Tipo B,Bruno,29.77
35.7,5.77,33.0,171.2,156.5,Tipo-B,bruno,40.41
27.99,5.06,13.9,111.5,212.8,Tipo-B,Desconhecido,31.31
38.35,5.04,24.1,157.0,180.9,TIPO C,bruno,38.7
29.31,5.16,39.1,156.8,198.0,TIPO C,Desconhecido,48.61
30.52,5.5,22.6,168.2,171.0,,Ana,38.0
25.87,5.93,39.5,108.5,155.9,tipo a,Ana,33.79
26.67,4.15,38.8,162.7,,Tipo A,Carlos,51.4
32.74,-1.0,20.8,128.1,255.7,Tipo B,Desconhecido,44.64
29.01,5.88,38.2,150.7,274.8,tipo a,Desconhecido,52.04
37.53,5.06,38.9,177.3,131.1,Tipo A,Bruno,32.86
25.22,5.23,26.3,170.6,264.6,tipo a,,38.58
30.69,4.96,19.6,111.9,151.0,,Bruno,22.53
30.06,4.19,30.8,159.1,185.5,tipo a,,46.04
25.29,5.54,,196.9,280.3,Desconhecido,bruno,57.97
26.87,5.49,35.0,115.7,190.9,Tipo-B,Carlos,43.65
31.2,4.62,18.2,185.3,139.4,tipo a,Ana,19.53
32.39,-1.0,36.6,170.3,132.0,Tipo-B,Desconhecido,46.5
31.06,-1.0,27.4,177.4,194.6,Tipo A,bruno,33.48
32.96,4.14,33.3,128.2,252.5,TIPO C,Carlos,43.39
33.93,5.76,38.4,128.8,299.4,Tipo A,Bruno,47.72
25.15,4.51,30.5,9999.0,257.5,,Carlos,45.88
31.96,5.19,41.3,136.0,275.4,Tipo-B,bruno,49.72
39.45,5.87,38.0,106.3,249.6,TIPO C,Ana,56.43
32.79,5.36,34.1,160.1,279.1,Desconhecido,Bruno,47.98
35.16,-1.0,17.4,112.5,115.3,Tipo C,ana,28.96
29.68,5.38,,179.7,286.0,TIPO C,Bruno,50.9
36.61,4.69,45.7,164.2,179.3,tipo a,Ana,61.83
36.59,4.55,16.9,187.5,284.3,,,42.41
32.82,5.99,29.6,178.5,115.1,,Bruno,25.97
39.64,5.5,21.3,111.2,243.0,Tipo A,bruno,31.01
26.88,5.29,39.2,138.1,247.1,Desconhecido,,43.39
25.25,4.71,38.0,177.5,299.4,tipo a,Bruno,53.73
36.55,4.1,17.1,141.7,253.8,Desconhecido,Desconhecido,38.47
37.11,4.06,43.6,197.2,176.5,TIPO C,Carlos,58.03
,5.11,18.5,173.6,211.4,Tipo C,,37.58
28.98,-1.0,40.7,101.5,173.3,tipo a,bruno,54.78
25.26,5.07,28.5,188.0,139.2,Tipo C,Ana,41.26
29.4,5.68,23.8,110.1,149.7,Tipo B,bruno,38.71
36.6,4.07,17.7,114.1,144.4,Tipo C,Desconhecido,32.76
32.77,4.73,,173.4,209.8,Tipo A,,39.04
30.22,4.47,35.8,186.5,281.2,TIPO C,Bruno,44.25
30.58,4.89,31.8,153.6,282.5,Tipo-B,Bruno,39.16
25.02,4.14,16.4,128.9,111.0,Tipo-B,ana,22.16
29.5,5.91,16.1,135.1,116.0,,bruno,25.62
34.7,4.45,14.6,134.3,149.0,tipo a,Bruno,33.66
39.61,5.84,38.8,132.7,151.0,TIPO C,Bruno,56.88
37.71,4.85,37.6,124.3,119.0,,Desconhecido,45.14
25.35,5.97,14.1,160.9,177.7,Desconhecido,Ana,37.61
38.48,5.11,32.2,9999.0,217.5,Tipo B,ana,46.25
36.75,5.86,15.0,130.7,215.6,,ana,30.3
36.71,4.01,44.5,118.7,208.7,tipo a,ana,52.72
,5.5,44.7,183.9,167.7,Tipo C,,49.66
30.97,5.81,37.1,174.2,241.3,Tipo-B,Carlos,43.75
29.54,4.28,45.3,193.1,265.3,Tipo C,bruno,51.45
25.99,4.19,41.2,116.6,169.3,Tipo-B,Ana,38.99
28.42,4.85,41.8,114.4,117.1,,Carlos,43.19
28.7,5.87,32.5,154.1,159.3,Tipo-B,Ana,39.81
32.26,5.08,23.0,161.4,127.5,Tipo-B,bruno,34.24
36.21,5.05,19.8,9999.0,193.5,,ana,32.49
32.11,4.28,23.8,159.9,131.2,TIPO C,Desconhecido,40.62
25.87,4.0,34.6,118.0,192.6,Desconhecido,Desconhecido,30.54
39.37,5.62,18.2,148.0,144.2,,Desconhecido,37.25
39.14,4.18,21.3,165.8,,Desconhecido,Ana,38.15
36.78,5.27,,143.3,105.5,Desconhecido,bruno,42.94
39.87,5.83,20.4,167.9,210.9,Tipo A,Bruno,30.53
33.17,4.42,33.2,145.1,133.9,,Bruno,40.23
39.44,5.33,45.2,133.4,100.2,TIPO C,Desconhecido,56.39
26.13,4.16,38.9,130.4,273.8,Tipo C,,41.82
30.49,5.21,36.0,141.1,234.3,Desconhecido,Ana,37.97
28.38,4.33,33.0,102.3,119.8,TIPO C,Bruno,37.88
27.94,5.47,29.6,166.9,232.8,Desconhecido,Ana,39.17
27.11,4.6,18.7,184.5,222.3,tipo a,bruno,35.89
34.34,4.93,44.2,135.5,194.7,Tipo B,,58.57
36.72,5.2,20.9,104.6,183.9,tipo a,,35.97
33.67,4.34,15.3,198.7,277.4,TIPO C,Desconhecido,34.77
27.2,5.48,39.0,126.4,149.0,Tipo C,Carlos,50.11
37.17,4.61,18.3,112.7,179.7,Tipo B,Desconhecido,32.46
34.54,5.32,,137.0,165.8,tipo a,Carlos,41.07
30.82,4.32,13.0,173.9,254.2,Tipo B,,21.58
35.11,5.38,16.9,129.4,283.3,Tipo C,Bruno,30.29
28.9,4.26,18.2,157.5,270.0,Tipo-B,,39.85
30.18,4.85,14.0,141.6,259.5,Tipo C,ana,34.45
38.76,4.49,35.6,111.8,297.4,Desconhecido,Carlos,52.1
29.36,5.5,42.1,133.0,239.4,Tipo A,ana,44.68
32.05,4.52,25.4,172.5,250.2,Tipo B,Ana,31.39
38.35,5.76,43.5,161.2,296.6,Tipo C,,49.51
35.62,5.78,19.7,112.0,101.4,Tipo-B,ana,32.36
,4.39,23.7,116.3,226.8,,Carlos,35.65
27.21,-1.0,17.4,164.1,247.8,Tipo-B,Bruno,39.14
25.12,4.18,34.3,181.3,283.6,Tipo C,Bruno,36.35
34.46,4.78,27.1,134.9,276.8,tipo a,,37.99
31.72,5.43,34.1,159.5,268.4,Tipo C,Desconhecido,53.42
27.01,5.32,39.4,9999.0,289.2,Tipo-B,Bruno,38.57
39.37,-1.0,31.6,131.1,207.5,,Ana,46.43
32.94,4.57,34.6,102.0,101.4,Tipo C,Carlos,33.11
28.63,4.76,,176.8,102.2,Tipo A,bruno,50.14
32.51,4.21,22.8,140.1,208.9,tipo a,Bruno,44.63
35.19,5.44,24.9,181.6,187.1,Tipo C,ana,42.36
26.14,5.01,37.8,170.8,190.2,Tipo-B,Carlos,52.49
29.12,5.42,34.0,182.9,180.1,Tipo C,Desconhecido,46.73
37.1,4.5,18.4,9999.0,283.5,Desconhecido,bruno,37.37
31.89,4.65,25.5,118.5,171.8,Tipo C,Desconhecido,28.72
33.2,4.67,,9999.0,271.2,Tipo B,Ana,53.59
31.49,4.05,27.1,171.7,280.6,Tipo C,Desconhecido,46.78
25.66,4.68,18.4,183.4,199.9,,Carlos,27.59
,5.61,45.3,101.3,,Tipo A,bruno,56.62
31.68,5.79,39.4,135.4,252.2,Tipo-B,,52.58
28.14,5.04,29.3,174.3,241.6,TIPO C,Desconhecido,44.16
25.75,4.91,36.5,107.8,165.7,Tipo B,Desconhecido,43.6
37.65,4.06,44.3,156.7,120.5,TIPO C,,51.49
39.72,5.76,16.9,142.9,153.0,Tipo C,ana,41.64
36.9,4.03,21.0,101.8,126.2,Desconhecido,ana,33.14
37.81,5.89,31.5,123.6,158.9,tipo a,Ana,44.46
,4.98,40.8,128.5,,Tipo A,,55.69
39.41,4.68,13.3,111.2,227.5,Tipo A,,36.92
27.95,5.85,47.4,163.2,290.9,Desconhecido,Carlos,46.58
39.27,4.05,28.4,124.2,237.1,Tipo A,Desconhecido,37.91
39.92,5.16,24.9,127.8,285.3,Desconhecido,Carlos,37.18
35.68,5.1,22.5,189.8,256.8,Tipo B,Bruno,41.64
39.72,-1.0,18.3,146.7,245.6,Desconhecido,Ana,33.25
33.54,4.86,40.5,139.2,182.8,,ana,47.83
28.89,5.3,46.4,172.4,165.0,Desconhecido,,51.77
31.55,5.45,26.9,191.0,269.3,Tipo C,Ana,42.55
33.9,-1.0,46.3,102.5,281.1,Tipo A,Ana,50.36
26.1,5.87,41.7,144.8,190.4,Tipo C,Carlos,50.86
34.34,4.33,29.3,161.1,101.8,tipo a,,34.99
39.72,4.47,36.3,131.9,,Desconhecido,ana,41.52
27.85,4.53,27.7,177.2,157.0,Tipo C,ana,34.95
36.89,4.08,32.1,197.1,102.0,TIPO C,Desconhecido,38.56
38.62,4.25,14.1,194.3,261.0,Tipo C,Desconhecido,33.31
39.16,5.97,37.1,126.6,203.5,Tipo C,Carlos,44.93
39.4,4.63,13.9,122.6,237.0,Desconhecido,Carlos,25.4
32.82,4.23,41.4,195.7,282.9,,Bruno,44.82
39.66,4.21,41.7,9999.0,208.2,Tipo-B,bruno,52.97
36.36,5.44,20.5,120.8,200.6,TIPO C,bruno,39.6
27.43,5.71,23.7,170.7,158.1,Tipo B,Ana,30.63
32.15,4.51,29.3,128.4,,Desconhecido,Desconhecido,39.29
35.77,4.04,33.5,126.7,259.3,Tipo C,ana,40.31
28.71,4.45,22.3,187.9,189.8,Tipo A,,34.25
34.61,4.11,33.3,116.2,132.7,Desconhecido,Ana,50.5
35.0,4.21,22.7,106.4,118.9,,,46.35
27.44,4.86,14.0,126.9,194.6,Tipo-B,ana,24.95
33.48,4.46,12.1,160.7,193.0,Tipo C,Desconhecido,25.92
36.57,5.03,15.6,9999.0,230.7,Tipo-B,Desconhecido,34.2
32.48,4.51,40.5,147.2,194.2,Tipo B,Bruno,49.74
25.18,5.88,46.6,9999.0,,Desconhecido,Carlos,52.67
25.14,5.81,27.4,184.9,201.6,Tipo-B,,35.87
30.36,5.13,30.5,123.0,281.4,Tipo A,Carlos,40.53
38.89,-1.0,17.3,181.7,131.9,Tipo C,Carlos,37.29
28.43,4.76,31.8,123.5,238.0,Tipo A,bruno,42.4
34.52,4.82,17.2,9999.0,218.8,Desconhecido,Carlos,31.44
28.33,5.46,34.0,143.1,249.7,Desconhecido,bruno,43.73
29.83,4.9,45.6,111.5,130.1,,ana,51.38
37.72,5.71,19.0,171.4,,tipo a,Ana,22.33
35.93,5.89,39.5,121.8,224.2,Tipo-B,,47.65
26.43,4.67,12.8,117.7,269.4,Tipo-B,bruno,30.68
31.43,5.12,25.5,135.8,149.3,Tipo-B,Desconhecido,35.05
25.44,4.19,16.0,165.3,247.9,TIPO C,Bruno,24.24
32.21,4.4,24.7,123.4,256.2,Desconhecido,,33.07
34.94,4.83,18.2,118.4,179.5,Desconhecido,Bruno,34.57
26.78,4.41,25.4,101.0,176.8,Tipo B,Desconhecido,28.79
29.33,5.75,27.0,147.2,231.6,TIPO C,ana,38.51
,4.32,22.8,142.9,118.7,Tipo A,,34.6
38.79,4.91,35.6,123.4,247.1,Desconhecido,Ana,41.73
39.9,5.21,45.1,105.4,108.6,tipo a,Bruno,58.63
25.67,5.38,26.4,142.9,138.1,,,41.64
36.42,4.77,18.9,178.8,232.8,Tipo B,Desconhecido,37.57
30.58,5.74,21.7,171.5,119.7,Tipo B,Bruno,33.71
30.89,5.14,42.7,186.1,294.4,Tipo C,bruno,50.39
36.31,4.88,32.6,101.0,273.7,Desconhecido,ana,42.38
38.78,4.13,28.4,196.6,225.3,tipo a,Bruno,40.91
39.26,4.93,17.4,134.1,263.8,Desconhecido,ana,39.11
33.66,5.64,28.2,199.0,277.5,Tipo-B,ana,45.19
30.36,5.23,22.0,125.3,151.9,TIPO C,bruno,23.95
36.81,5.66,46.0,147.2,269.9,,,47.79
,4.99,43.8,135.4,139.0,,ana,45.69
33.46,-1.0,15.0,135.6,,Tipo-B,bruno,26.76
30.38,4.03,30.6,184.2,211.7,Desconhecido,Bruno,42.53
,4.61,20.1,174.6,242.8,Tipo C,Bruno,33.6
28.61,5.4,26.8,199.2,106.0,TIPO C,ana,40.27
27.87,5.58,43.6,9999.0,,Tipo-B,bruno,57.39
38.77,4.59,,146.3,221.7,,Bruno,42.03
26.53,4.99,24.0,109.0,171.5,Tipo A,ana,29.04
32.59,4.84,19.5,199.7,255.0,,,30.49
28.31,4.82,40.8,155.2,230.3,Tipo-B,Ana,43.64
25.58,4.46,34.5,170.0,146.9,Desconhecido,Carlos,44.72
25.54,4.27,28.9,140.7,129.2,,,39.84
27.63,4.39,19.8,154.8,225.8,TIPO C,,35.04
38.0,4.11,24.0,194.3,190.1,Tipo A,Carlos,33.73
29.24,4.4,46.6,116.6,133.8,Tipo C,Desconhecido,48.62
39.26,4.02,30.7,129.2,165.3,,ana,39.96
33.72,5.25,26.4,115.2,160.6,Tipo C,Carlos,46.79
31.55,4.63,30.8,179.2,121.6,Tipo A,Ana,43.43
33.7,5.95,40.0,106.2,209.4,TIPO C,ana,47.11
32.75,4.39,24.2,108.2,252.7,TIPO C,Carlos,37.51
36.38,4.69,18.4,129.8,215.1,Tipo-B,Carlos,32.04
29.24,4.72,33.1,151.4,265.3,,Ana,45.5
30.3,4.02,35.9,140.6,125.5,Tipo C,bruno,39.74
38.41,5.68,37.7,104.5,187.1,Tipo C,Carlos,54.6
39.2,4.06,,195.7,221.9,,,50.04
38.39,5.88,25.4,195.3,235.2,Tipo A,Desconhecido,41.59
31.29,5.78,14.7,127.9,239.2,Tipo C,,31.6
36.71,5.07,46.5,173.2,245.8,Desconhecido,Carlos,56.8
32.15,5.09,27.7,157.9,230.3,Tipo-B,Carlos,41.26
32.46,5.31,34.4,123.7,118.8,Tipo C,Ana,42.47
28.07,4.77,36.0,126.2,239.1,,Ana,39.7
33.87,5.29,31.7,149.1,245.0,,ana,52.68
27.79,4.09,19.4,141.9,298.7,Tipo A,Desconhecido,29.04
29.97,4.11,39.2,9999.0,238.7,Tipo-B,Bruno,39.12
37.83,4.91,40.9,180.8,237.4,tipo a,Ana,49.99
28.11,5.1,31.9,148.1,203.0,Tipo A,Bruno,48.27
26.07,5.78,29.6,165.5,273.6,,Desconhecido,50.2
26.04,4.21,16.1,118.9,299.4,tipo a,Carlos,29.35
39.11,5.65,15.0,9999.0,255.8,,ana,36.98
32.6,4.42,24.2,131.8,222.5,Tipo C,Carlos,45.78
31.14,4.79,23.2,152.6,115.8,Tipo-B,,30.67
37.16,4.63,46.3,178.1,245.3,Tipo C,ana,59.04
37.54,4.8,40.2,176.9,241.7,Tipo-B,Bruno,61.93
29.98,4.3,35.8,135.4,255.1,Tipo B,,48.4
35.4,5.01,30.6,9999.0,124.9,Tipo C,Desconhecido,42.11
36.57,5.6,18.0,194.1,230.7,Tipo C,Desconhecido,37.18
,4.88,47.2,162.6,159.1,Tipo C,Ana,65.09
27.27,4.98,25.5,114.8,252.1,TIPO C,Bruno,36.76
38.14,5.7,15.8,168.0,148.1,Tipo A,ana,27.83
33.09,5.41,29.8,110.5,236.8,TIPO C,Ana,43.88
29.24,-1.0,43.5,187.2,159.0,Tipo-B,Bruno,46.98
31.38,4.52,43.9,151.7,101.8,Tipo-B,,46.82
25.56,5.77,12.4,138.5,226.7,Tipo-B,Ana,22.14
26.92,5.15,,105.7,122.7,Tipo A,Ana,47.94
36.48,4.44,21.8,138.1,231.9,Tipo-B,Desconhecido,32.38
25.0,-1.0,13.4,190.3,285.1,TIPO C,Desconhecido,30.13
31.25,5.61,42.5,102.1,293.8,Desconhecido,Carlos,47.74
32.84,-1.0,43.1,147.5,147.2,TIPO C,Carlos,53.37
25.82,-1.0,33.5,193.1,261.9,Desconhecido,Desconhecido,41.62
39.6,4.26,32.7,139.5,170.7,Tipo C,Desconhecido,44.1
28.39,5.59,41.3,142.8,280.1,tipo a,,47.95
29.56,4.79,40.3,157.9,257.5,Desconhecido,Ana,56.55
29.56,-1.0,44.0,146.3,114.8,Tipo B,Carlos,54.8
28.46,5.76,31.9,116.9,181.4,,Desconhecido,32.03
25.02,4.83,46.8,9999.0,167.5,Tipo-B,Bruno,47.29
35.94,5.07,47.9,9999.0,257.0,Tipo A,Bruno,58.14
39.5,4.1,16.2,192.1,182.1,Desconhecido,Carlos,22.62
28.36,4.0,,110.6,236.9,Tipo A,Bruno,48.64
34.95,4.49,30.0,121.1,220.5,Tipo-B,ana,37.42
36.13,5.36,26.0,137.0,295.1,tipo a,Ana,36.98
37.73,-1.0,34.1,180.9,287.6,TIPO C,Carlos,44.0
31.34,4.23,14.0,126.9,185.5,Tipo-B,ana,33.51
29.54,4.82,30.2,188.2,244.7,Tipo A,Desconhecido,45.55
29.88,5.3,43.4,105.5,265.9,Tipo B,,47.82
35.69,5.42,19.7,194.1,279.8,tipo a,,34.4
,4.36,27.4,156.1,113.6,,ana,41.02
27.72,4.16,45.8,165.9,160.4,Tipo-B,Bruno,58.25
30.56,5.88,27.4,136.8,164.0,Desconhecido,Ana,35.32
38.53,4.52,24.9,9999.0,186.9,Tipo B,Desconhecido,31.41
37.1,5.71,27.9,116.7,133.9,,bruno,40.17
39.77,5.73,30.7,104.9,199.2,Tipo-B,Ana,44.12
36.31,5.55,34.8,9999.0,232.6,tipo a,Bruno,48.21
30.9,4.34,40.8,185.4,199.5,Tipo A,Ana,49.25
33.86,5.64,28.3,175.5,233.2,TIPO C,,41.99
34.92,5.54,41.4,151.7,113.3,Desconhecido,bruno,45.1
26.18,5.19,31.2,157.2,275.2,TIPO C,bruno,46.71
33.17,4.67,24.2,113.0,287.8,tipo a,Ana,34.79
35.64,-1.0,35.7,184.1,223.6,,,46.93
27.51,4.24,37.8,178.7,276.3,,Desconhecido,48.04
36.71,-1.0,,165.6,126.3,Tipo C,,46.04
33.76,5.17,14.0,146.6,259.5,TIPO C,ana,38.83
,4.72,18.1,196.4,123.8,Tipo-B,Desconhecido,42.78
25.64,4.95,22.3,187.9,181.6,Tipo B,bruno,31.94
28.98,4.73,22.2,164.4,164.8,Tipo B,Carlos,44.51
34.02,5.28,36.2,137.2,217.1,Desconhecido,Carlos,51.63
,5.8,12.7,161.8,160.3,TIPO C,Desconhecido,26.77
35.72,4.33,39.2,157.5,227.5,tipo a,Carlos,46.25
36.39,4.76,21.6,139.4,173.5,Desconhecido,Desconhecido,36.17
26.54,4.28,23.2,130.7,272.2,tipo a,Bruno,23.76
32.71,5.25,31.0,9999.0,226.8,tipo a,Desconhecido,45.39
,5.46,19.8,157.4,143.1,Tipo B,Bruno,26.92
30.54,5.86,43.8,142.8,167.2,Tipo A,ana,51.63
38.99,4.56,,126.4,269.5,Tipo B,bruno,30.5
37.41,5.9,28.0,176.1,177.3,Tipo A,Carlos,41.63
35.46,4.13,42.6,153.1,207.2,Desconhecido,ana,47.8
35.71,5.21,34.2,106.8,229.8,Desconhecido,ana,41.7
31.93,4.11,22.5,136.8,169.6,Desconhecido,,37.17
38.81,-1.0,27.1,188.5,,tipo a,,38.45
35.42,5.06,37.4,175.5,195.1,,bruno,44.95
35.93,5.34,47.0,132.3,143.0,Tipo C,Ana,49.51
37.93,5.66,44.2,193.8,156.8,Tipo B,Ana,58.84
29.11,4.3,24.3,107.7,112.4,,ana,27.42
37.11,4.08,47.9,196.1,160.8,tipo a,ana,56.18
27.93,5.76,12.1,124.6,164.1,Tipo B,,35.27
30.18,4.63,13.0,100.9,292.4,tipo a,bruno,23.98
30.03,4.26,41.7,143.4,217.9,Tipo B,Desconhecido,44.46
39.68,4.94,19.2,135.9,257.5,Tipo-B,Desconhecido,42.33
37.85,5.2,14.2,153.9,109.1,Tipo B,Carlos,25.46
35.52,4.06,20.5,179.7,121.3,Tipo-B,bruno,39.44
,4.55,27.3,9999.0,262.9,,Ana,40.61
33.43,4.07,38.3,140.1,224.7,Tipo A,bruno,50.88
39.21,4.84,34.5,143.0,138.2,Tipo B,bruno,49.34
32.44,5.79,20.6,114.8,181.0,Tipo A,,34.96
30.71,5.97,30.1,104.8,207.7,Tipo C,Carlos,35.55
27.45,5.27,45.3,164.1,,TIPO C,Desconhecido,50.45
36.79,4.32,41.3,106.4,112.1,TIPO C,ana,46.29
36.02,5.81,23.6,173.4,219.3,Tipo-B,Ana,44.53
30.77,5.03,47.4,153.9,243.4,,Carlos,54.91
25.38,4.31,37.5,119.9,295.6,,Ana,53.38
37.58,5.84,14.2,154.0,261.4,Tipo B,Ana,32.33
25.17,5.51,13.3,118.3,155.2,TIPO C,Desconhecido,23.53
35.56,5.46,18.1,143.9,241.9,Tipo A,ana,32.89
39.55,5.42,38.2,180.0,252.7,TIPO C,ana,48.48
31.56,4.4,18.6,146.2,245.9,TIPO C,,33.66
28.52,4.42,30.4,114.9,264.0,tipo a,Desconhecido,39.03
35.57,5.38,15.4,172.4,280.7,TIPO C,Carlos,30.3
37.26,4.44,45.2,118.7,119.7,Tipo A,Bruno,52.44
33.2,4.88,24.4,173.9,121.0,TIPO C,Carlos,35.45
39.51,5.56,44.7,147.9,259.3,Tipo B,Carlos,56.99
25.78,5.57,46.0,145.4,150.5,TIPO C,Bruno,53.46
32.57,4.91,12.2,185.1,111.7,Tipo C,Ana,25.71
,5.58,,170.9,180.2,TIPO C,bruno,39.63
37.94,5.68,12.9,103.3,264.0,Tipo-B,Bruno,24.91
27.69,5.31,44.7,129.6,125.3,,bruno,55.18
37.0,4.46,30.7,9999.0,234.4,tipo a,Ana,36.14
33.29,4.55,14.7,9999.0,100.7,Desconhecido,Bruno,24.6
30.95,4.63,16.0,154.5,121.9,Tipo A,Desconhecido,33.42
,4.23,25.8,172.8,170.2,,Carlos,32.41
37.98,4.55,45.8,162.2,116.7,,Bruno,51.76
27.36,4.42,36.9,176.1,269.2,TIPO C,Bruno,49.14
29.65,4.91,43.2,172.6,272.8,TIPO C,Ana,40.83
29.35,5.82,25.2,169.2,251.1,Tipo B,Desconhecido,36.7
38.07,-1.0,13.6,182.2,148.5,Desconhecido,Bruno,28.03
35.09,5.44,47.1,164.6,204.6,Tipo B,Desconhecido,53.19
36.95,5.37,12.6,140.2,136.8,Tipo-B,bruno,34.81
28.76,4.19,46.1,147.2,156.3,Desconhecido,Bruno,50.33
34.37,5.85,25.3,9999.0,203.2,,Desconhecido,32.33
33.58,5.14,12.4,187.6,247.0,tipo a,Carlos,23.36
37.49,4.73,36.8,127.2,118.9,Tipo A,Ana,47.12
38.59,5.51,47.3,134.2,159.3,Tipo A,ana,48.99
25.18,4.51,46.8,193.1,285.3,,Desconhecido,59.23
35.11,5.39,17.8,157.9,185.8,Tipo A,Ana,28.09
25.78,4.08,18.5,117.9,287.8,Tipo-B,ana,28.44
33.23,5.68,32.4,166.4,298.3,Tipo-B,Bruno,34.66
29.31,4.9,34.9,199.1,205.3,TIPO C,Bruno,36.46
29.6,5.27,38.6,182.3,157.6,tipo a,bruno,46.62
30.29,4.44,18.5,174.6,258.2,Tipo A,Ana,49.04
34.32,5.35,46.5,120.8,131.9,Tipo A,Carlos,50.44
30.01,5.54,35.0,187.6,150.4,TIPO C,,48.09
35.99,4.95,42.5,9999.0,257.0,tipo a,Carlos,50.94
31.07,5.24,31.4,188.9,186.7,Desconhecido,Desconhecido,48.49
26.03,4.91,26.9,133.0,140.3,tipo a,Carlos,35.51
,-1.0,47.2,106.2,230.2,tipo a,ana,47.79
29.29,5.0,33.0,147.6,246.6,,Ana,42.08
31.49,5.68,43.2,127.0,125.0,Tipo B,Bruno,39.99
,5.6,46.3,171.5,155.4,tipo a,Ana,50.2
29.99,4.82,36.3,195.7,144.3,Tipo C,Ana,48.37
25.85,4.46,31.8,9999.0,176.0,Tipo-B,Bruno,36.99
30.61,4.81,12.1,188.7,252.7,tipo a,ana,27.26
39.17,5.65,13.4,145.3,242.7,Tipo B,Ana,36.16
34.63,4.46,19.2,177.2,232.5,,Carlos,32.66
35.07,5.05,18.7,184.3,101.3,,Desconhecido,37.15
34.48,5.61,21.2,171.1,128.4,Desconhecido,,32.17
27.98,4.71,23.0,150.8,144.7,Tipo C,Desconhecido,38.77
31.28,5.28,25.0,162.6,154.4,Tipo B,Ana,44.0
36.26,4.49,27.1,170.1,129.3,Tipo B,ana,30.77
26.52,4.22,15.6,125.3,182.1,TIPO C,Bruno,21.41
29.17,5.59,13.5,181.0,115.0,Tipo B,bruno,26.35
29.14,4.2,36.3,195.0,250.0,Tipo B,ana,42.17
31.48,4.54,31.3,146.5,257.5,Tipo A,Ana,46.84
39.71,5.71,28.0,170.1,214.9,Tipo-B,Ana,43.96
26.01,4.69,34.8,173.7,117.9,TIPO C,bruno,37.96
32.78,5.95,41.8,166.2,278.0,TIPO C,Desconhecido,57.08
27.69,5.96,27.4,154.7,293.1,Tipo A,ana,43.89
39.56,4.54,35.1,188.2,140.5,Tipo C,Desconhecido,41.99
,4.08,46.3,144.9,240.9,Tipo A,,47.05
31.05,5.41,42.2,106.1,268.4,TIPO C,bruno,53.71
36.07,-1.0,27.3,184.5,208.0,Tipo C,Bruno,47.16
35.57,4.2,35.2,167.4,164.7,TIPO C,,52.73
31.34,5.42,18.4,184.9,195.7,tipo a,Ana,45.75
30.2,4.06,32.2,113.9,202.5,Tipo C,Carlos,41.55
30.96,-1.0,47.3,103.1,180.1,TIPO C,Desconhecido,57.79
,4.28,30.7,193.4,,Tipo A,Desconhecido,55.29
28.08,-1.0,45.4,114.8,248.8,TIPO C,ana,49.75
32.25,4.35,,9999.0,148.3,Tipo A,,34.84
29.03,5.92,48.0,182.3,217.1,Tipo C,,54.38
29.31,5.39,32.9,170.9,237.7,Tipo A,Desconhecido,51.46
,5.6,13.5,113.1,128.0,Tipo C,Bruno,36.91
39.53,-1.0,,9999.0,171.7,Tipo B,bruno,48.0
34.05,4.67,21.9,188.9,281.1,Tipo-B,Bruno,37.42
26.15,4.47,13.2,142.6,213.4,Desconhecido,Desconhecido,19.67
26.13,4.96,41.6,141.4,143.4,Tipo C,ana,47.69
39.27,5.1,21.9,144.3,124.6,Desconhecido,Ana,31.81
29.46,-1.0,40.7,108.2,203.6,,Desconhecido,42.54
26.38,4.51,22.4,189.2,209.5,Desconhecido,Ana,35.7
33.99,5.9,19.0,186.9,166.9,Tipo B,ana,26.72
,4.34,47.1,9999.0,226.1,Tipo B,Ana,57.98
34.73,5.93,25.0,158.5,113.7,Tipo B,Desconhecido,41.12
29.01,4.03,33.6,175.1,129.0,Desconhecido,Desconhecido,35.77
25.23,4.96,34.0,120.3,209.3,Tipo B,Ana,38.31
39.48,4.67,32.2,166.8,112.4,Tipo C,Bruno,38.54
,4.9,44.9,165.0,276.2,Desconhecido,Bruno,55.86
35.14,5.14,36.3,190.1,128.4,Desconhecido,ana,40.77
35.6,4.87,26.5,183.1,234.8,,Bruno,45.44
34.15,4.83,43.0,193.8,178.2,Tipo A,,54.92
,5.47,18.5,186.9,180.0,Tipo B,Carlos,43.42
29.07,5.37,31.6,9999.0,253.0,tipo a,Ana,51.47
,5.67,46.2,106.4,199.9,Tipo B,Carlos,46.39
37.99,4.5,34.5,184.6,245.1,,Carlos,57.57
39.2,5.22,41.4,160.7,201.0,Tipo A,,50.78
26.59,5.17,35.5,138.0,218.6,Tipo A,Ana,39.5
27.32,4.74,42.2,105.7,252.1,Tipo-B,Carlos,45.57
